68488954;vhlopez1120;2016-04-12 23:00:00;In case you need cliff notes this election  
4054171937;Jackidoll2;2016-04-12 23:00:01;RT  Donald Trump to headline fundraiser near site of anti-immigrant hate crime  
61080758;DotDotDotDash;2016-04-12 23:00:00;She's back. I wonder how many are still at large the West... 
1075311170;FrankTones4;2016-04-12 23:00:01;RT  Trump has demonstrated real leadership in the private sector where people’s livelihoods depended on his vision 
4828455413;PolitiPlatform;2016-04-12 23:00:01;Donald Trump: Eliminate the income tax for single individuals earning less than $25,...  #Election2016
332596597;thatkidemann;2016-04-12 23:00:02;RT  Donald Trump rally vs. Bernie Sanders rally 
705730322923708416;Raffi716;2016-04-12 23:00:02;The Potus is embarrassed by Trumps words?? LOL Im embarrassed by a Potus who apologizes to terrorists. GO TRUMP!!! 
4876962185;trumpinfresh;2016-04-12 23:00:03;"Why are you unfollowing so many people?"\n"They don't follow me, I don't care who you are, that's why I unfollowed Donald Trump"\nOk Haley..
4142046579;keshaisqueenbr;2016-04-12 23:00:03; #iHeartAwards #LadyGaga #TripleThreat
29722978;CapeFlo;2016-04-12 23:00:03;RT  Someone send one of these to Donald Trump before it's too late! 
543773790;R0bert0oo;2016-04-12 23:00:04;RT  Robert just told me I looked like Donald Trump 🙃
29573028;OnNewYork;2016-04-12 23:00:04;RT  After Swearing Off Donald Trump Coverage, New York Observer Endorses Him - International Business Times 
3429971421;ubericana;2016-04-12 23:00:04; The Donald Trump Rally: The faces of the movement.  #ihaveavoice
53710141;volleymac40;2016-04-12 23:00:04;RT  "The legacy of Donald #Trump’s 30 years of leadership is everywhere- not only in the tall buildings.." #Trump2016\n
2163043872;etphome70;2016-04-12 23:00:05;BREAKING: Border Patrol Revolts, Issues Stunning Demand About Donald J Trump 
3532804813;jCar89000;2016-04-12 23:00:05;RT  . funded #AntiTeaParty pac!\n
21718571;freespeechtv;2016-04-12 23:00:05;Funny story: Donald Trump will not get kids' votes  
81169930;earnrnurse;2016-04-12 23:00:05;RT  . on death threats to delegates: "I'm very troubled by this. Donald Trump now has a consistent pattern of inciti…
2163043872;etphome70;2016-04-12 23:00:06;BREAKING: Border Patrol Revolts, Issues Stunning Demand About Donald J Trump 
706816179701051392;us_poll;2016-04-12 23:00:06;RT  2016 Election Isn't About...\nRight vs. Left🗳\n\nIt's About...\nUS Sovereignty vs. Global Control🌎\n\n#MAGA \n#AmericaFirst 
418915120;pinkypinkz_;2016-04-12 23:00:06;RT  Donald Trump rally vs Bernie Sanders rally 
2417040355;MunozSydney;2016-04-12 23:00:06;RT  Donald Trump rally vs. Bernie Sander rally 
3307425607;meganboeger;2016-04-12 23:00:06;RT  i've said a lot of dumb shit on the internet but im glad i've never actually supported donald trump in any way
399712913;ten24get;2016-04-12 23:00:06;Winning or Whining. Trump is so easily confused. 
861963872;dj4k4000;2016-04-12 23:00:06;RT  The New York Observer newspaper, owned by  son-in-law, has endorsed Donald Trump 
4865193790;CloudKatt;2016-04-12 23:00:06;Poll: Voters Split Between Clinton and Trump in Hypothetical November Matchup 
22523182;EvilEsq;2016-04-12 23:00:07;He's overpaying!! 
245645101;LuxuriousKid;2016-04-12 23:00:07;RT  Donald Trump rally vs. Bernie Sander rally 
3132147256;The_Official_JS;2016-04-12 23:00:07;RT  clicc like to donate 5 cents to a starving donald trump in africa 
